自住精装三房，拎包入住，户型方正，满五*,107103381710,荡湾新村,https://sh.ke.com/xiaoqu/5011000001087/,高楼层(共6层)|1983年建|3室1厅|69.77平米|东南,172,万,单价24653元/平米,192人关注/3月前发布,浦东,bp0ep200,l3
满五无增值税无抵押无户口有阁楼双阳台小区首排,107103482225,新舒苑,https://sh.ke.com/xiaoqu/5011000011973/,高楼层(共6层)|2006年建|3室2厅|103.57平米|南,188,万,单价18152元/平米,84人关注/2月前发布,浦东,bp0ep200,l3
云锦新苑3室2厅南,107103560566,云锦新苑,https://sh.ke.com/xiaoqu/5011000001647/,高楼层(共6层)|2006年建|3室2厅|109.54平米|南,190,万,单价17346元/平米,38人关注/2月前发布,浦东,bp0ep200,l3
临港新片区，三房，采光好，位置好,107103483601,云帆佳苑,https://sh.ke.com/xiaoqu/5011000003823/,高楼层(共6层)|2007年建|3室2厅|102.76平米|南,200,万,单价19463元/平米,37人关注/2月前发布,浦东,bp0ep200,l3
此房自住精装。户型正气，采光好，配套成熟,107103169476,听潮五村,https://sh.ke.com/xiaoqu/5011000005527/,高楼层(共6层)|1995年建|3室1厅|89.68平米|南北,199,万,单价22191元/平米,128人关注/5月前发布,浦东,bp0ep200,l3
临港新片区万达旁轻奢三房三开间朝南带阁楼,107103770538,云锦雅苑,https://sh.ke.com/xiaoqu/5011000011552/,高楼层(共6层)|2006年建|3室2厅|112.11平米|南,198,万,单价17662元/平米,39人关注/13天前发布,浦东,bp0ep200,l3
自贸区大三房+飞机户型+精装修+临港新政三年可买,107103690959,新舒苑,https://sh.ke.com/xiaoqu/5011000011973/,高楼层(共6层)|2007年建|3室2厅|104平米|南北,200,万,单价19231元/平米,25人关注/28天前发布,浦东,bp0ep200,l3
小区复式现代化装修环境好位置佳,107101933352,悦天地,https://sh.ke.com/xiaoqu/5011000018878/,中楼层(共4层)|2016年建|3室2厅|51.76平米|北,170,万,单价32844元/平米,55人关注/1年前发布,浦东,bp0ep200,l3
毛坯三房，两卧朝南，一卧朝北，客厅南北通透采光好,107101883836,云树仁居,https://sh.ke.com/xiaoqu/5011000001235/,低楼层(共6层)|2008年建|3室2厅|101.49平米|南北,199,万,单价19608元/平米,13人关注/1年前发布,浦东,bp0ep200,l3
临港大三房，户型好，诚心出售价格优惠,107102433651,祥安梅苑,https://sh.ke.com/xiaoqu/5011000001363/,低楼层(共6层)|2008年建|3室2厅|119.48平米|南,180,万,单价15066元/平米,51人关注/11月前发布,浦东,bp0ep200,l3
视野开阔，采光充足，买1层得2层,107103749846,悦天地,https://sh.ke.com/xiaoqu/5011000018878/,中楼层(共5层)|2016年建|3室1厅|50.68平米|东,195,万,单价38477元/平米,0人关注/15天前发布,浦东,bp0ep200,l3
禹洲商业广场3室1厅东,107103726969,禹洲商业广场,https://sh.ke.com/xiaoqu/5011000018888/,高楼层(共17层)3室1厅|94.86平米|东,188,万,单价19819元/平米,0人关注/20天前发布,浦东,bp0ep200,l3
禹洲商业广场3室1厅西北,107103702825,禹洲商业广场,https://sh.ke.com/xiaoqu/5011000018888/,中楼层(共19层)3室1厅|97.12平米|西北,120,万,单价12356元/平米,9人关注/25天前发布,浦东,bp0ep200,l3
买1层得2层，没社保也能买，9号线300米,107102376717,悦天地,https://sh.ke.com/xiaoqu/5011000018878/,中楼层(共5层)|2016年建|3室1厅|51.57平米|东,165,万,单价31996元/平米,25人关注/12月前发布,浦东,bp0ep200,l3
临港书院东方颐城，人车分流，环境好，业主诚意出售！,107103569253,东方颐城,https://sh.ke.com/xiaoqu/509821540057880/,低楼层(共7层)3室1厅|89.87平米|南北,245,万,单价27262元/平米,24人关注/2月前发布,浦东,bp200ep250,l3
此房满五年，无增值税，电梯中间楼层，户型好，大三房,107103581640,祥安菊苑,https://sh.ke.com/xiaoqu/5011000011763/,低楼层(共11层)|2008年建|3室2厅|125平米|南,205,万,单价16400元/平米,20人关注/1月前发布,浦东,bp200ep250,l3
临港新片区，大三房，近万达广场，全明户型,107103517680,云锦新苑,https://sh.ke.com/xiaoqu/5011000001647/,高楼层(共6层)|2006年建|3室2厅|110.59平米|南,210,万,单价18990元/平米,15人关注/2月前发布,浦东,bp200ep250,l3
